date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,latitude,longitude,n_guns_involved,participant_age_group,participant_gender,participant_relationship,participant_type,state_house_district,state_senate_district
2013-03-21,Missouri,Kansas City,4900 block of Brookside Blvd,1,3,5,0::Unknown,39.0383,-94.5849,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Female||3::Female||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,25,7
2013-03-22,New York,Brooklyn,2703 W. 33rd Street,1,3,8,NA,40.5803,-74.0005,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,46,23
2013-03-30,California,Merced (county),9200 block of Westside Boulevard,3,2,16,NA,37.3603,-120.654,NA,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Teen 12-17||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Female||3::Male||4::Male||5::Male||6::Male,5::Gang vs Gang||6::Gang vs Gang,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect||6::Subject-Suspect,21,12
2013-03-31,Washington,Auburn,2802 Auburn Way North,3,2,8,NA,47.3149,-122.224,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,47,47
2013-04-06,South Carolina,Greenwood,Tabor Street,1,4,3,NA,34.1868,-82.1638,NA,4::Teen 12-17||5::Teen 12-17,4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,12,10
2013-04-07,New York,New York (Manhattan),900 Garden Way,1,3,16,NA,40.9018,-73.8511,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Female||2::Female||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,81,36
2013-04-07,California,Long Beach,300 block of East Home Street,1,3,47,NA,33.8479,-118.19,NA,0::Adult 18+,0::Male||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim,63,33
2013-04-09,Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,1,NA,39.9924,-75.13,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,NA,NA
2013-04-10,California,Vallejo,1800 block of Mini Drive,0,4,5,NA,38.1519,-122.261,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Female,NA,0::Victim||1::Victim||2::Victim||3::Victim,14,3
2013-04-14,Arizona,Phoenix,12400 North 25th Avenue,2,4,6,NA,33.5985,-112.113,NA,0::Adult 18+||1::Teen 12-17||2::Teen 12-17||3::Teen 12-17||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male||6::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect,28,28
2013-04-14,Kentucky,Lexington,750 East New Circle Rd,1,4,6,NA,38.0485,-84.453,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,NA,NA
2013-04-18,Ohio,Akron,Kimlyn Circle,4,0,13,0::Unknown,41.1102,-81.4771,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Female||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,34,28
2013-04-21,Washington,Federal Way,33300 block of 18th Lane South,5,0,9,0::Not-stolen||1::Unknown,47.303,-122.31,2,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Female||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,30,30
2013-04-22,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,7,NA,41.7906,-87.6418,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,4::Gang vs Gang,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,6,3
2013-04-22,Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,2,0::Unknown||1::Unknown||2::Unknown,29.8736,-90.0568,3,0::Child 0-11||1::Child 0-11||2::Child 0-11||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+||8::Adult 18+||9::Adult 18+,0::Male||1::Female||2::Female||3::Female||4::Female||5::Male||6::Male||7::Male||8::Male||9::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect||6::Subject-Suspect||7::Subject-Suspect||8::Subject-Suspect||9::Subject-Suspect,87,7
2013-04-24,Illinois,Manchester,East Street,6,1,18,0::Unknown||1::Unknown,39.5417,-90.3301,2,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Child 0-11||4::Child 0-11,0::Female||1::Female||2::Male||3::Male||4::Male||5::Female||6::Male,6::Significant others - current or former,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect,100,50
2013-04-25,Ohio,Oberlin,500 block of West College Street,0,4,4,0::Unknown,41.2927,-82.2347,1,0::Teen 12-17||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim,56,13
2013-04-27,Florida,Williston,County Road 318,1,3,3,NA,29.4035,-82.3647,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Female||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,20,5
